symptom,result,uu_id
两胁胀满每因情志不畅而发作或加重,心情不好时，您是否会感到两侧胁肋部有胀满感加重？,22
纳呆,您是否有消化不良的症状？,22
饱胀,腹部是不是有一种饱胀感，让您觉得不太舒服？,22
溏滞,您的大便是否偏软导致排便时感觉不爽快？,22
神疲乏力,是否总是觉得疲惫不堪，精神萎靡？,22
不欲饮食,您是否感觉没有胃口，不想吃东西？,22
胸闷不舒,您有没有觉得胸口像有东西压着，不太舒服？,22
口干或口苦,您是否存在口干或者口苦的情况？,23
恶心或呕吐,您是否感到恶心想呕吐？,23
口干不欲饮,您有没有出现口干却不想饮水的情况？,23
尿痛,小便时是否感到疼痛或灼热感？,23
纳呆,您最近有没有觉得没有食欲？,23
小便短黄,您是否发现自己的排尿量减少，且尿液颜色偏黄？,23
纳呆,您是否有消化不良的症状？,23
脘腹痞满,您是否觉得肚子里有东西堵着，不太舒服？,23
身体虚寒,近来，您是否觉得身体呈现出阴虚的异常表现，包含大便干结、口干想喝水、形体和精神状态改变？,25
手足心热，心烦少眠,您有无手脚心发热，以及心烦导致难以入眠的情况？,25
胃脘疼痛,您是否经常感到胃部不适，有疼痛感？,26
尿急,您是否有尿急的情况，即突然强烈的小便欲望？,26
情志不抒,您是否发现自己近期情绪低沉？,26
善叹息,您日常中是否有频繁叹息的表现？,26
心烦,您是否近期常感心中烦乱不安？,26
两胁胀满每因情志不畅而发作或加重,您两侧胁肋部的胀满感是否在心情不好时更为明显或加重？,26
纳呆,您是否有食欲不振的情况？,26
反酸,您是否有过夜间反酸的情况？,27
易饥,您是否出现频繁感到饥饿的症状？,27
嗳气,您是否经常爱打嗝？,27
反食,您是否遭受过反食的困扰？,27
胃脘疼痛,您是否经常感到胃部不适，有疼痛感？,27
失眠,您是否经常经历躺床上后辗转反侧，无法安眠？,28
溏滞,您是否发现自己大便形态松散，且伴有排便阻滞感？,28
胃脘疼痛,您是否有时会感到胃部疼痛难受？,28
呕吐,您近期是否出现恶心呕吐的情况？,28
胃脘痞满,您是否觉得胃中堵塞？,28
肠鸣,您是否有时会听到肚子里咕噜咕噜的响声？,28
嗳气,您是否存在胃中不适，以打嗝形式排气的情况？,28
不欲饮食,您最近是否常常感到厌食？,28
口苦,您有没有口苦的症状？,28
口干,您是否觉得口中干涩？,28
反酸,您有没有过反酸的经历？,28
纳呆,您最近有没有觉得没有食欲？,28
胃脘疼痛,您的胃上部有没有疼的感觉？,29
溏滞,您是否有大便质地稀薄，排便不畅的情况？,29
胃脘痞满,您是否觉得胃中堵塞？,29
不欲饮食,您是否有食物摆在面前也无心食用的情况？,29
失眠,您近期有失眠的情况？,29
呕吐,是否有过恶心并伴随呕吐的情况发生？,29
肠鸣,您是否经常会听到肚子里有咕噜咕噜的响声？,29
纳呆,您是否感觉食欲不振，不思饮食？,29
口苦,您是否感觉口中有苦味？,29
口干,您是否常感口干不适？,29
嘈杂,您是否觉得心里乱糟糟的？,29
胃脘疼痛,胃部有没有出现过疼痛的情况？,30
反酸,您是否伴有嗳气或打嗝的现象？,30
溏滞,您是否经常遇到大便不成形，且排出困难的问题？,30
胃脘痞满,您是否觉得胃中堵塞？,30
不欲饮食,您最近是否不想吃东西？,30
失眠,您是否发现自己有失眠问题？,30
呕吐,是否有过恶心并伴随呕吐的情况发生？,30
恶心,您有没有恶心想吐的感觉？,30
肠鸣,您是否有时会听到肚子里有咕噜咕噜的响声？,30
纳呆,您是否感觉食欲不振，不思饮食？,30
口苦,您是否感觉口中有苦味？,30
口干,您有无口干口燥，唾液少的症状？,30
嘈杂,您是否感觉胸闷，心里烦？,30
脘腹痞满,是否感觉胃腹部位有些堵塞，不够畅快？,31
口干或口苦,是否觉得口中干涩或带有苦味？,31
恶心或呕吐,您近期是否在有恶心感时伴有呕吐的症状？,31
小便不尽感,小便后是否感觉没有排空感，即仍有尿意？,31
小便短黄,您是否观察到自己的小便量少且颜色偏黄？,31
纳呆,您是否有消化不良的症状？,31
口干不欲饮,您是存在口干但并没有想去喝水的想法？,31
纳呆,您是否感觉食欲不振，不思饮食？,31
胃脘疼痛,您是否有时会感到胃部疼痛难受？,32
嗳气,嗳气时是否感觉有酸味或苦味？,32
胃脘痞满,您的胃是否总感觉饱饱的，不太舒服？,32
溏滞,您是否有大便质地稀薄，排便不畅的情况？,32
不欲饮食,您是否有食物摆在面前也无心食用的情况？,32
失眠,您是否发现自己有失眠问题？,32
肠鸣,您是否有时会听到肚子里有咕噜咕噜的响声？,32
口干,您是否觉得口中干涩？,32
嘈杂,您是否觉得心里乱糟糟的？,32
口苦,您是否感到口苦？,32
呕吐,您近期是否出现恶心呕吐的情况？,32
胃脘疼痛,您的胃上部有没有疼的感觉？,33
反酸,您是否有过夜间反酸的情况？,33
溏滞,您的大便是否偏软导致排便时感觉不爽快？,33
不欲饮食,您最近是否常常感到厌食？,33
纳呆,您是否感觉食欲不振，不思饮食？,33
胃脘痞满,您是否经常感到胃部胀满，像有东西顶着一样？,33
失眠,您是否经常经历躺床上后辗转反侧，无法安眠？,33
肠鸣,您是否经常会听到肚子里有咕噜咕噜的响声？,33
口干,您是否常感口干不适？,33
口苦,您是否感到口苦？,33
呕吐,您近期是否出现恶心呕吐的情况？,33
恶心,是否感到胃部不适，有恶心之感？,33
嘈杂,您是否常感觉心里乱乱的？,33
反酸,您有没有过反酸的经历？,34
反食,您是否经历过进食后食物上涌的现象？,34
易饥,您是否感觉比以往消化的更快，刚吃完不久就又饿了？,34
嗳气,嗳气是否在情绪紧张或压力大时更加频繁？,34
胸骨后疼痛,胸口中央靠后的位置，是否会疼痛？,34
易怒,您是否经常感到情绪烦躁，容易发火？,34
小便不尽感,小便后是否感觉没有排空感，即仍有尿意？,34
胃脘痞满,您的胃是否总感觉饱饱的，不太舒服？,34
嗳气,嗳气时是否感觉有酸味或苦味？,35
溏滞,您是否存在大便质地松软且排出不顺畅的情况？,35
反酸,您是否伴有嗳气或打嗝的现象？,35
胃脘疼痛,您是否有时会感到胃部疼痛难受？,35
尿频,您是否有尿频的症状？,35
纳呆,您最近有没有觉得没有食欲？,35
嘈杂,您是否觉得心里乱糟糟的？,35
失眠,失眠是否是您目前的一个症状？,35
肠鸣,您是否经常会听到肚子里有咕噜咕噜的响声？,35
胃脘痞满,您是否经常感到胃部胀满，像有东西顶着一样？,35
恶心,您目前是否有恶心想吐的感觉？,35
口干,您有无口干口燥，唾液少的症状？,35
口苦,口中是否感觉有苦味？,35
失眠,您是否发现自己有失眠问题？,36
胃脘疼痛,您的胃上部有没有疼的感觉？,36
肠鸣,您是否有时会听到肚子里有咕噜咕噜的响声？,36
反酸,您是否感觉到反酸？,36
胃脘痞满,您是否感觉胃部饱胀不适，有堵塞感？,36
口干,您是否经常感到口腔干燥？,36
溏滞,您是否发现自己大便形态松散，且伴有排便阻滞感？,36
口苦,您是否感觉口中有苦味？,36
嗳气,嗳气是否经常在饭后发生？,36
呕吐,是否有过恶心并伴随呕吐的情况发生？,36
纳呆,您是否感觉食欲不振，不思饮食？,36
不欲饮食,您是否感觉没有胃口，不想吃东西？,36
嗳气,嗳气是否伴随有消化不良或食欲不振？,37
溏滞,您的大便是否偏软导致排便时感觉不爽快？,37
反酸,您是否经常感到胃部不适或疼痛？,37
胃脘疼痛,有没有觉得胃的部位隐隐作痛？,37
尿痛,小便时是否感到疼痛或灼热感？,37
纳呆,您最近有没有觉得没有食欲？,37
嘈杂,您是否感觉胸闷，心里乱？,37
失眠,您是否发现自己有失眠问题？,37
肠鸣,您是否经常听到肚子里有咕噜咕噜的响声？,37
恶心,您是否感到恶心想吐？,37
口干,您是否常感口干不适？,37
口苦,您有没有口苦的症状？,37
反酸,您是否感觉到反酸？,38
反食,您是否存在反胃的情况？,38
易饥,您是否经常感到饥饿，即使刚进食不久？,38
嗳气,您最近爱打嗝吗？,38
胸骨后疼痛,您有没有觉得胸骨背后隐隐作痛？,38
疲乏,您是否感到疲劳或精神不振？,39
尿痛,小便时是否感到疼痛或灼热感？,39
泛吐清水,您是否有口中频繁泛出清水的情况？,39
胃脘痞满,您是否经常感到胃部胀满，像有东西顶着一样？,39
四肢不温,您是否经常感到四肢发凉？,39
胃脘疼痛,胃部有没有出现过疼痛的情况？,39
溏滞,您的大便是否偏软导致排便时感觉不爽快？,39
反酸,您有没有过反酸的经历？,40
反食,您是否经常出现食物反流的症状？,40
易饥,您是否经常感到饥饿，即使刚进食不久？,40
嗳气,您最近爱打嗝吗？,40
胸骨后疼痛,胸骨后方有没有出现过疼痛的情况？,40
易怒,您是否觉得自己情绪不稳定，有易怒的倾向？,40
尿急,您是否有尿急的情况，即突然强烈的小便欲望？,40
胃脘痞满,您的胃是否总感觉饱饱的，不太舒服？,40
胃脘疼痛,有没有觉得胃的部位隐隐作痛？,41
尿频,您是否有尿频的症状？,41
嗳气,您是否频繁地打嗝？,41
心烦,是否经常出现心烦意乱，情绪难以自控的症状？,41
两胁胀满,您最近是否两侧胁肋部有胀满感？,41
善叹息,您是否爱叹气？,41
纳呆,您是否有食欲不振的情况？,41
情志不抒,您是否发现自己近期情绪低沉？,41
反酸,您是否伴有嗳气或打嗝的现象？,42
反食,您是否经常出现食物反流的症状？,42
易饥,您是否出现频繁感到饥饿的症状？,42
嗳气,您最近爱打嗝吗？,42
胸骨后疼痛,胸骨后方有没有出现过疼痛的情况？,42
易怒,您是否经常感到情绪烦躁，容易发火？,42
尿频,您是否有尿频的症状？,42
胃脘痞满,您的胃是否总感觉饱饱的，不太舒服？,42
纳呆,您是否有食欲不振的情况？,42
胃脘疼痛,您是否有时会感到胃部疼痛难受？,42
胃脘疼痛,有没有觉得胃的部位隐隐作痛？,43
尿频,您是否有尿频的症状？,43
嗳气,您是否经常爱打嗝？,43
心烦,您是否感觉心中有热，烦扰不宁？,43
两胁胀满,您两侧胁肋部是否有胀满感？,43
胃脘疼痛,您是否经常感到胃部不适，有疼痛感？,44
尿急,您是否有尿急的情况，即突然强烈的小便欲望？,44
嗳气,您是否有胃气上逆，伴随打嗝的情况？,44
心烦,您有没有觉得心情烦躁，难以平静的情况？,44
两胁胀满,您两胁处是否有胀满不适的感觉？,44
两胁胀满每因情志不畅而发作或加重,心情不好时，您是否会感到两侧胁肋部有胀满感加重？,44
善叹息,是否发现自己常常无故叹息？,44
疲乏,您是否感到身体疲乏无力？,44
情志不抒,您是否发现自己近期情绪低沉？,44
胃脘疼痛,有没有觉得胃的部位隐隐作痛？,45
尿频,您是否有尿频的症状？,45
嗳气,您最近爱打嗝吗？,45
心烦,您有没有觉得心情烦躁，难以平静的情况？,45
两胁胀满,您最近是否两侧胁肋部有胀满感？,45
善叹息,您是否爱叹气？,45
体重,您是否有体重下降的情况？,45
情志不抒,您是否总是感到心情不好？,45
胃脘疼痛,胃部有没有出现过疼痛的情况？,46
尿痛,小便时是否感到疼痛或灼热感？,46
嗳气,嗳气是否伴随有消化不良或食欲不振？,46
心烦,您是否总是感觉心烦？,46
两胁胀满,您两侧胁肋部是否有胀满感？,46
善叹息,您是否爱叹气？,46
胃脘疼痛,有没有觉得胃的部位隐隐作痛？,47
尿急,您是否有尿急的情况，即突然强烈的小便欲望？,47
嗳气,您是否有胃气上逆，伴随打嗝的情况？,47
心烦,是否经常出现心烦意乱，情绪难以自控的症状？,47
两胁胀满,您最近是否两侧胁肋部有胀满感？,47
两胁胀满每因情志不畅而发作或加重,您两胁胀满的症状是否常在心情不好时发作或加剧？,47
善叹息,您日常中是否有频繁叹息的表现？,47
疲乏,您是否感到身体疲乏无力？,47
情志不抒,您是否发现自己近期情绪低沉？,47
胃脘疼痛,您是否经常感到胃部不适，有疼痛感？,48
小便不尽感,小便后是否感觉没有排空感，即仍有尿意？,48
嗳气,您是否频繁地打嗝？,48
心烦,您有没有觉得心情烦躁，难以平静的情况？,48
两胁胀满,您两胁处是否有胀满不适的感觉？,48
善叹息,您是否爱叹气？,48
纳呆,您是否有消化不良的症状？,48
情志不抒,您近期是否感觉心情不舒畅？,48
嘈杂,您是否常感觉心里乱乱的？,49
失眠,您是否常有夜间难以入睡的情况？,49
胃脘疼痛,胃部有没有出现过疼痛的情况？,49
肠鸣,您是否经常听到肚子里有咕噜咕噜的响声？,49
反酸,您是否出现过反酸的症状？,49
胃脘痞满,您是否经常感到胃部胀满，像有东西顶着一样？,49
口干,您是否经常感觉口干，想喝水？,49
口苦,您是否经常感觉口中泛苦？,49
嗳气,嗳气是否在情绪紧张或压力大时更加频繁？,49
呕吐,您近期是否出现恶心呕吐的情况？,49
溏滞,您的大便是否偏软导致排便时感觉不爽快？,49
纳呆,是否觉得吃东西没有味道，不想吃东西？,49
不欲饮食,您最近是否不想吃东西？,49
胃脘疼痛,胃部有没有出现过疼痛的情况？,50
尿频,您是否有尿频的症状？,50
嗳气,您是否存在胃中不适，以打嗝形式排气的情况？,50
心烦,您是否近期常感心中烦乱不安？,50
两胁胀满,您两胁部位是否有胀满的感觉？,50
善叹息,近期您是否容易出现频繁叹气的情况？,50
夜间盗汗,您是否容易出汗，尤其是夜间？,50
反酸,您是否存在反酸的不适感？,51
嗳气,您是否有胃气上逆，伴随打嗝的情况？,51
胃脘疼痛,胃部有没有出现过疼痛的情况？,51
溏滞,您是否经常遇到大便不成形，且排出困难的问题？,51
不欲饮食,您最近是否常常感到厌食？,51
腹痛发作与情绪变化有关,情绪变化时，您是否会感到腹部疼痛？,51
抽筋,您是否有夜间腿部抽筋或疼痛的经历？,51
胸胁胀闷,胸胁部位是否时有胀满不畅的感受？,51
尿量,小便量是否明显增多？,51
腹痛即泻泻后痛减,您有没有遇到过肚子疼，上厕所后疼痛就减轻的状况？,51
口干不欲饮,您是否经常感到口渴，饮水量增多？,51
嗳气食少,近期您是否有打嗝现象，并且每餐食量较以往明显偏少？,51
反食,您有没有感觉到食物经常会反回到喉咙或口腔？,51
泛吐清水,您是否发觉自己常有清水从口中溢出的现象？,51
胃脘痞满,您是否觉得胃中堵塞？,51
胸闷不舒,您是否时常感到胸部气机不畅，有憋闷之感？,51
尿频,您是否有尿频的症状？,51
饱胀,您是否觉得肚子里好像装满了东西，有点撑？,51
脘腹痞满,是否感觉胃腹部位有些堵塞，不够畅快？,52
口干或口苦,您是否经常感到口腔干燥，或者嘴里有苦味？,52
恶心或呕吐,您是否感到恶心想呕吐？,52
小便不尽感,小便后是否感觉没有排空感，即仍有尿意？,52
小便短黄,您是否观察到自己的小便量少且颜色偏黄？,52
体重,您是否有体重下降的情况？,52
口干不欲饮,您是存在口干但并没有想去喝水的想法？,52
纳呆,您是否感觉食欲不振，不思饮食？,52
反酸,您是否经常感到反酸？,53
反食,您是否遭受过反食的困扰？,53
易饥,您是否感觉比以往消化的更快，刚吃完不久就又饿了？,53
嗳气,嗳气是否伴随有消化不良或食欲不振？,53
胸骨后疼痛,胸口中央靠后的位置，是否会疼痛？,53
易怒,您是否觉得自己情绪不稳定，有易怒的倾向？,53
尿痛,小便时是否感到疼痛或灼热感？,53
胃脘痞满,您的胃是否总感觉饱饱的，不太舒服？,53
体重,您是否有体重下降的情况？,53
胃脘疼痛,您是否有时会感到胃部疼痛难受？,53
脘腹痞满,您是否觉得胃腹部饱胀，有点顶的慌？,54
口干或口苦,是否觉得口中干涩或带有苦味？,54
恶心或呕吐,您是否感到恶心或者想呕吐？,54
尿色,您的尿液颜色是否异常？,54
小便短黄,您是否观察到自己的小便量少且颜色偏黄？,54
纳呆,您是否有食欲不振的情况？,54
口干不欲饮,您是否经常口干但是不想喝水？,54
纳呆,近期是否有胃口不好，吃东西不香的情况？,54
脘腹痞满,您的胃或腹部有没有觉得胀胀的，好像消化不了？,55
口干或口苦,是否觉得口中干涩或带有苦味？,55
恶心或呕吐,您近期是否在有恶心感时伴有呕吐的症状？,55
小便短黄,您的小便是否短黄，即量少而色深？,55
尿频,您是否有尿频的症状？,55
纳呆,您是否有消化不良的症状？,55
纳呆,近期是否有胃口不好，吃东西不香的情况？,55
口干不欲饮,您是否经常口干但是不想喝水？,55
脘腹痞满,您的胃或腹部有没有觉得胀胀的，好像消化不了？,56
口干或口苦,您是否经常感到口腔干燥，或者嘴里有苦味？,56
恶心或呕吐,您是否感到恶心或者想呕吐？,56
尿急,您是否有尿急的情况，即突然强烈的小便欲望？,56
小便短黄,您有没有遇到小便短促且色泽发黄的症状？,56
疲乏,您是否感到身体疲乏无力？,56
口干不欲饮,您有没有出现口干却不想饮水的情况？,56
纳呆,近期是否有胃口不好，吃东西不香的情况？,56
嗳气,您是否有胃气上逆，伴随打嗝的情况？,57
溏滞,您是否经常遇到大便不成形，且排出困难的问题？,57
胃脘疼痛,您是否有时会感到胃部疼痛难受？,57
纳呆,您是否感觉食欲不振，不思饮食？,57
失眠,您是否发现自己有失眠问题？,57
肠鸣,您是否有时会听到肚子里咕噜咕噜的响声？,57
恶心,您有没有恶心想吐的感觉？,57
口干,您是否觉得口中干涩？,57
口苦,您是否感觉口中有苦味？,57
嘈杂,您近期是否感到心里比较乱？,57
脘腹痞满,您是否觉得肚子里有东西堵着，不太舒服？,58
口干或口苦,是否觉得口中干涩或带有苦味？,58
恶心或呕吐,您近期是否出现过恶心或者想呕吐的现象？,58
小便不尽感,小便后是否感觉没有排空感，即仍有尿意？,58
小便短黄,您是否发现自己的排尿量减少，且尿液颜色偏黄？,58
纳呆,您是否有食欲不振的情况？,58
口干不欲饮,您有没有出现口干却不想饮水的情况？,58
纳呆,近期是否有胃口不好，吃东西不香的情况？,58
胃脘疼痛,您的胃上部有没有疼的感觉？,60
小便不尽感,小便后是否感觉没有排空感，即仍有尿意？,60
嗳气,嗳气时是否感觉有酸味或苦味？,60
心烦,您是否总是感觉心烦？,60
两胁胀满,您两胁部位是否有胀满的感觉？,60
善叹息,您日常中是否有频繁叹息的表现？,60
体重,您是否有体重下降的情况？,60
情志不抒,您近期是否感觉心情不舒畅？,60
胃脘疼痛,您是否经常感到胃部不适，有疼痛感？,61
尿频,您是否有尿频的症状？,61
嗳气,嗳气是否在情绪紧张或压力大时更加频繁？,61
心烦,您是否近期常感心中烦乱不安？,61
两胁胀满,您最近是否两侧胁肋部有胀满感？,61
善叹息,您是否经常不由自主地发出叹息声？,61
纳呆,您是否有食欲不振的情况？,61
