symptom,question
口干不欲饮,您是存在口干但并没有想去喝水的想法？
口干不欲饮,您是否经常口干但是不想喝水？
口干不欲饮,您是否经常感到口渴，饮水量增多？
口干或口苦,您是否经常感到口腔干燥，或者嘴里有苦味？
口干或口苦,您有没有口干口苦的感觉？
口干或口苦,是否觉得口中干涩或带有苦味？
口干或口苦,您是否感觉口干口苦？
口干或口苦,您是否存在口干或者口苦的情况？
口干欲饮,您是否经常感到口干舌燥，想要喝水？
口干欲饮,您是否经常口干想喝水？
口干欲饮,是否经常觉得口中干燥，需要喝水来缓解？
口干欲饮,您是否感觉口干，并有喝水的想法？
口干欲饮,是否有口干舌燥，并常常想要喝水？
口干舌燥,您是否常有口腔干燥、舌头无津液的感觉？
口干舌燥,您是否感觉口中干涩，需要频繁喝水来缓解？
口干舌燥,是否出现口干舌燥，即便喝水也难以立刻缓解的症状？
口干舌燥,您是否经常感觉口干舌燥？
口干舌燥,近期您是否有口干舌燥的情况？
口淡不渴,您是否觉得口中淡而无味，也不想喝水？
口淡不渴,您是否有嘴里没滋味儿，也不想喝水的感觉？
口淡不渴,是否觉得口中乏味，同时没有口渴的感觉？
口淡不渴,您是否觉得嘴巴里淡淡的，没有想喝水的欲望？
口淡不渴,口中是否感觉淡然无味，且不感口渴？
口臭,您是否察觉自己口腔有异味？
口臭,您近期是否有口臭的困扰？
口臭,您是否感到自己口腔有异味？
口臭,您自我感觉口腔是否清新无异味？
口臭,晨起时，您是否感觉口腔内有明显异味？
口臭,您是否有舌苔厚腻，口中常有异味？
口苦,您是否经常感觉口中泛苦？
口苦,您有没有口苦的症状？
口苦,口中是否感觉有苦味？
口苦,您是否感觉口中有苦味？
口苦,您是否感到口苦？
吞咽困难,您在吞咽食物时是否感到有梗阻感或不畅？
吞咽困难,您是否存在食物下咽困难的情况？
吞咽困难,吞咽过程中，您是否会感觉喉咙或食道有阻碍？
吞咽困难,您吞咽时是否顺畅无阻，没有吞咽困难？
吞咽困难,是否有食物卡在喉咙或胸口，吞咽不顺利的情况？
呃逆,您是否经常打嗝？
呃逆,您是否有打嗝症状？
呃逆,近期，您是否有过打嗝的症状？
呃逆,近期，您是否有过打嗝的症状吗？
呃逆,您是否经常会打嗝？
呕吐,您近期是否有过呕吐的症状？
呕吐,您近期是否有过恶心呕吐的情况？
呕吐,是否有过恶心并伴随呕吐的情况发生？
呕吐,您近期是否出现恶心呕吐的情况？
呕吐,您近期是否出现恶心呕吐的情况？
呕吐物为胃内容物,呕吐物中是否含有未消化的食物？
呕吐物为胃内容物,呕吐时是否伴有恶心感？
呕吐物为胃内容物,呕吐后是否感到胃部不适或疼痛？
呕吐物为胃内容物,呕吐是否发生在饭后不久？
呕吐物为胃内容物,呕吐是否伴随有发热或腹泻等症状？
呕血,您的呕吐物中是否含有血丝？
咽喉不适,您是否感到咽喉有不适感？
咽喉不适,您的咽喉是否有疼痛或不适的感觉？
咽喉不适,咽喉不适是否为您目前的症状之一？
咽喉不适,您是否觉得咽喉部有异物感或不适？
咽喉不适,近期您的咽喉是否有干燥、痛痒等不适感觉？
咽喉不适如有痰梗,您是否感觉咽喉有痰梗阻的不适感？
咽喉不适如有痰梗,您咽喉是否有痰梗难咽的症状？
咽喉不适如有痰梗,您是否觉得咽喉部位有痰液堵塞？
咽喉不适如有痰梗,您咽喉是否出现如物梗喉的不适情况？
咽喉不适如有痰梗,您是否感到咽喉有痰而梗阻不畅？
咽干,您是否经常感到咽喉部位干燥不适吗？
咽干,您有没有觉得咽干，需要频繁吞咽来缓解？
咽干,咽干的症状，近期是否出现过？
咽干,您是否察觉自己咽喉干燥？
咽干,近期您是否感觉咽喉处总是干巴巴的？
善叹息,您是否经常不由自主地发出叹息声？
善叹息,您日常中是否有频繁叹息的表现？
善叹息,是否发现自己常常无故叹息？
善叹息,您是否爱叹气？
善叹息,近期您是否容易出现频繁叹气的情况？
喜温喜按,您是否感到热敷或温暖的环境能让身体更舒适？
喜温喜按,按压疼痛或不适的部位，是否会让您感觉症状有所缓解？
喜温喜按,您是否有感到热敷和适当按压能减轻某些不适感的情况？
喜温喜按,对于您来说，热敷和轻柔的按压是否能改善身体的不适症状？
喜温喜按,在出现不适时，是否发现温敷或按摩能让您感觉好些？
喜温喜按,您是否经常感到胃部冷痛或喜暖？
嗳气,您是否经常爱打嗝？
嗳气,您最近爱打嗝吗？
嗳气,您是否频繁地打嗝？
嗳气,您是否有胃气上逆，伴随打嗝的情况？
嗳气,您是否存在胃中不适，以打嗝形式排气的情况？
嗳气,您嗳气时是否伴有胃部不适或疼痛？
嗳气,嗳气是否经常在饭后发生？
嗳气,嗳气时是否感觉有酸味或苦味？
嗳气,嗳气是否伴随有消化不良或食欲不振？
嗳气,嗳气是否在情绪紧张或压力大时更加频繁？
嗳气,您是否有嗳气或打嗝的情况？
嗳气食少,您是否经常感觉饭量减少，还会频繁打嗝？
嗳气食少,您有没有出现过打嗝频繁，并伴有饭量减少的症状？
嗳气食少,是否感觉吃饭后胃中气体上逆，且饭量较以往有所减少？
嗳气食少,您是否经历过打嗝连连，同时食欲不振，吃得比平时少？
嗳气食少,近期您是否有打嗝现象，并且每餐食量较以往明显偏少？
嘈杂,您近期是否感到心里比较乱？
嘈杂,您是否觉得心里乱糟糟的？
嘈杂,您是否感觉胸闷，心里乱？
嘈杂,您是否常感觉心里乱乱的？
嘈杂,您是否感觉胸闷，心里烦？
四肢不温,您是否经常感到四肢发凉？
四肢不温,您较他人是否更加怕冷，总是手脚冰凉？
四肢不温,您是否感觉手脚冰凉？
四肢不温,您是否长期存在手脚冰凉，需加衣保暖的症状？
四肢不温,您是否感觉四肢总比他人更凉，缺乏温热？
声音嘶哑,您是否出现了声音嘶哑的症状？
声音嘶哑,您的声音是否沙哑？
声音嘶哑,声音嘶哑是否是您目前的症状之一？
声音嘶哑,您有没有觉得自己的声音变得嘶哑？
声音嘶哑,近期您是否有声音嘶哑的问题？
夜寐欠安,您晚上入睡困难吗？
夜寐欠安,您是否经常在夜间醒来后难以再次入睡？
夜寐欠安,您白天是否感到疲倦或精神不振？
夜寐欠安,您是否有焦虑或压力大的情况？
夜寐欠安,您晚上是否容易受到外界声音或光线的干扰？
夜间盗汗,您是否容易出汗，尤其是夜间？
夜间盗汗,您是否容易出汗，尤其是夜间？
大便不畅,您是否有排便困难的症状？
大便不畅,您的大便是否顺畅无阻？
大便不畅,您是否经常感到大便不通畅？
大便不畅,您是否存在便秘的情况？
大便不畅,您的大便是否通畅？
大便不畅,您的大便是否排出通畅？
大便不畅,您是否有大便排出不畅的情况？
大便不畅,请问您是否遭遇过大便难以排出的状况？
大便不畅,您近期是否感觉大便排出不畅？
大便干燥,您是否有大便干燥的症状？
大便干燥,您的大便是否偏干？
大便干燥,您的大便干还是不干？
大便干燥,您是否感觉大便不够湿润？
大便干燥,您的大便是否干燥？
大便干燥,您的大便是否因干燥导致排出不顺畅？
大便干燥,是否出现过大便干硬导致排出费力的情形？
大便干燥,您是否有粪便干燥的症状？
大便干燥,您的大便是否偏于干燥？
大便干燥,您排便时是否感觉大便难以排出，质地干硬？
大便干燥,您近期是否出现大便干燥的情况？
大便干燥,您的大便是否呈干燥状态？
大便干结,您是否有粪便干硬、排出困难的情况？
大便干结,您的大便是否经常呈干燥结块状？
大便干结,您是否经常遇到大便秘结、不易排出的状况？
大便干结,您是否感觉大便质地干硬，难以顺畅排出？
大便干结,您是否存在大便干结、排便费力的症状？
大便干结,您是否有大便干燥，形如羊粪之状？
大便干结,您的大便是否干结，类似羊粪之态？
大便干结,是否出现大便干硬，状如羊屎的情况？
大便干结,您的大便是否呈干结状，如同羊粪一般？
大便干结,是否有大便秘结，状若羊粪的情况？
大便腹痛,您的大便是否伴有腹痛？
大便艰涩,您是否有排便困难，大便艰涩难出的症状？
大便艰涩,您是否遭遇过大便质地干硬，排出时感到艰涩的情况？
大便艰涩,您在排便时，是否感到大便涩滞，不易排出？
大便艰涩,您是否经常出现大便不顺畅，有艰涩难排的感觉？
大小便正常,您的大便和小便是否正常？
失眠,您是否常有夜间难以入睡的情况？
失眠,您是否经常经历躺床上后辗转反侧，无法安眠？
失眠,失眠是否是您目前的一个症状？
失眠,您近期有失眠的情况？
失眠,您是否发现自己有失眠问题？
失眠,您是否有睡眠障碍，比如失眠或过度睡眠？
头晕,您是否感到头目眩晕？
头晕,您有无头晕目眩的症状？
头晕,您是否会觉得头晕乎乎的？
头晕,您是否经常感觉头重脚轻？
头晕,您近期是否有眩晕感？
头晕,您是否经常感到头晕或眼花？
头晕,您是否有头痛或头晕的症状？
寐差,您晚上入睡困难吗？
寐差,您是否经常在夜间醒来后难以再次入睡？
寐差,您白天是否感到疲倦或精神不振？
寐差,您是否有焦虑或压力大的情况？
寐差,您晚上是否经常有梦多或噩梦的情况？
寐差,您是否有睡眠质量差的问题？
寐差,您是否伴有睡眠质量差，如失眠或多梦？
寐差,您是否有睡眠质量下降的问题？
寐差,您是否有睡眠质量差的情况？
小便不尽感,小便后是否感觉没有排空感，即仍有尿意？
小便不畅,您是否感觉小便时尿流变细或中断？
小便短赤,您是否发现自己小便量少且颜色偏红黄？
小便短赤,您的小便是否呈现短少并且赤黄的情况？
小便短赤,您有没有遇到小便短促且色泽赤红的情况？
小便短赤,您是否观察到自己小便时量不多且色赤？
小便短赤,您的小便是否短少并带有赤红色？
小便短黄,您是否观察到自己的小便量少且颜色偏黄？
小便短黄,您的小便是否呈现短少且黄赤的情况？
小便短黄,您有没有遇到小便短促且色泽发黄的症状？
小便短黄,您是否发现自己的排尿量减少，且尿液颜色偏黄？
小便短黄,您的小便是否短黄，即量少而色深？
尿急,您是否有尿急的情况，即突然强烈的小便欲望？
尿痛,您的小便是否伴有疼痛感？
尿痛,小便时是否感到疼痛或灼热感？
尿痛,小便时是否伴有疼痛或灼热感？
尿色,您的小便颜色是否异常，如深黄或血色？
尿色,您的尿液颜色是否异常？
尿色,您的尿液颜色是否异常（如深黄或血色）？
尿色,小便颜色是否异常，如偏黄或浑浊？
尿量,小便量是否明显增多？
尿量,是否有口渴多饮，但小便量仍多的情况？
尿频,您是否有尿频的症状？
尿频,您是否有夜间频繁起夜小便的情况？
尿频,您是否有尿频的症状？
尿频,您是否有夜间尿频的情况？
尿频或尿急,您是否有尿频、尿急的症状？
尿频或尿急,小便时是否感觉尿急或尿频？
心悸,您是否经常感到心跳不安，有悸动感？
心悸,您是否有心慌或心跳加快的感觉？
心悸,您是否有自觉心跳快，无法平静的症状？
心悸,您是否经历过心脏突然猛跳，或心跳过速的情况？
心悸,您是否感觉心跳异常，有惊慌不安的感觉？
心悸,您是否有时会感到心胸部位悸动不宁？
心悸,您是否经常感到心跳加速或不规则？
心悸,您在休息时心悸症状是否有所缓解？
心悸,心悸是否伴随有胸闷或胸痛的感觉？
心悸,您是否有过度疲劳或精神压力大的情况？
心悸,心悸发作时是否伴有头晕或出汗？
心悸,您是否经常感到心跳加速或不规律？
心悸,您是否经常感到心慌或心跳加快？
心烦,您是否近期常感心中烦乱不安？
心烦,您有没有觉得心情烦躁，难以平静的情况？
心烦,是否经常出现心烦意乱，情绪难以自控的症状？
心烦,您是否感觉心中有热，烦扰不宁？
心烦,您是否总是感觉心烦？
怕冷,您是否经常感到畏寒？
怕冷,您有无怕冷的感觉？
怕冷,您是否比常人更容易觉得冷？
怕冷,您比常人更容易觉得冷吗？
怕冷,您是否存在畏寒怕冷的情况？
恶心,您是否感到恶心想吐？
恶心,您有没有恶心想吐的感觉？
恶心,您目前是否有恶心想吐的感觉？
恶心,您是否有恶心的症状？
恶心,是否感到胃部不适，有恶心之感？
恶心或呕吐,您是否感到恶心或者想呕吐？
恶心或呕吐,您近期是否在有恶心感时伴有呕吐的症状？
恶心或呕吐,您近期是否出现过恶心或者想呕吐的现象？
恶心或呕吐,您近期感到恶心或者想呕吐吗？
恶心或呕吐,您是否感到恶心想呕吐？
恶心或呕吐,您是否有恶心或呕吐的情况？
恶心或呕吐,胀满时是否伴有恶心或呕吐？
情志不抒,您是否有情绪低落或抑郁的情况？
情志不抒,您近期是否常感觉心情不好？
情志不抒,您是否觉得自己近期心情烦闷？
情志不抒,您是否总是感到心情不好？
情志不抒,您近期是否感觉心情不舒畅？
情志不抒,您是否发现自己近期情绪低沉？
情志不抒,您是否感到情绪低落或容易疲劳？
情志不抒,您是否有长期的精神压力或情绪波动？
手足不温,您是否经常感到四肢发凉？
手足不温,您较他人是否更加怕冷，总是手脚冰凉？
手足不温,您是否感觉手脚冰凉？
手足不温,您是否长期存在手脚冰凉，需加衣保暖的症状？
手足不温,您是否感觉四肢总比他人更凉，缺乏温热？
手足心热，心烦少眠,您是否经常感到手脚心发热，且伴有心烦、睡眠不安？
手足心热，心烦少眠,您有无手脚心发热，以及心烦导致难以入眠的情况？
手足心热，心烦少眠,是否出现手脚心温度偏高，并因心烦而睡眠减少的症状？
手足心热，心烦少眠,您是否经历过手脚心发烫，同时心烦意乱、睡眠不佳的状况？
手足心热，心烦少眠,您是否存在手脚心感觉热烘烘，且心烦意乱影响睡眠的问题？
抽筋,您是否有夜间腿部抽筋或疼痛的经历？
持续性腹痛,您的腹痛是持续性的还是阵发性的？
排便不爽,您是否有大便不畅的困扰？
排便不爽,您排便时是否感觉不顺畅？
排便不爽,您是否经常觉得排便不尽如人意？
排便不爽,您在排便过程中是否有阻滞感？
排便不爽,您是否遭遇过排便困难的情况？
排便困难,您是否有排便困难的症状？
排便困难,您的大便是否顺畅无阻？
排便困难,您是否经常感到大便不通畅？
排便困难,您是否存在便秘的情况？
排便困难,您的大便是否通畅？
排便无力,您是否感到排便时力量不足？
排便无力,排便过程中，您是否感觉用不上劲儿？
排便无力,您是否经历过排便时力气不够的情况？
排便无力,排便时，您是否觉得力不从心？
排便无力,您是否存在排便力量减弱的情况？
易怒,您是否经常感到情绪烦躁，容易发火？
易怒,您近期是否有易怒的表现，容易因小事而生气？
易怒,您是否觉得自己情绪不稳定，有易怒的倾向？
易怒,您是否容易感到愤怒，难以控制自己的情绪？
易怒,您是否发现自己比以往更容易动怒？
易饥,您是否经常感到饥饿，即使刚进食不久？
易饥,您是否有容易饥饿，食后不久又感饥饿的情况？
易饥,您是否常常觉得饥饿难耐，即便饮食规律？
易饥,您是否出现频繁感到饥饿的症状？
易饥,您是否感觉比以往消化的更快，刚吃完不久就又饿了？
气向上冲逆,您是否常有气自腹部上冲至胸部，感觉不适？
气向上冲逆,您是否经历过气息逆上，难以平复的情况？
气向上冲逆,您是否感觉有气自下而上冲逆，影响日常？
气向上冲逆,您是否时有气逆上冲，伴有胸闷或咽喉不适？
气向上冲逆,您是否自觉体内有气上冲，导致呼吸不畅或烦躁？
水肿,您是否容易出现水肿，尤其是在早晨起床时？
水肿休息后缓解,您的双下肢水肿是否在休息后有所缓解？
泛吐清水,您是否有口中频繁泛出清水的情况？
泛吐清水,您是否经常感觉口中有清水上涌？
泛吐清水,您是否出现过不自觉地口吐清水的症状？
泛吐清水,您是否发觉自己常有清水从口中溢出的现象？
泛吐清水,您是否遭遇过口中不断泛吐清水的状况？
溏滞,您是否有大便质地稀薄，排便不畅的情况？
溏滞,您是否经常遇到大便不成形，且排出困难的问题？
溏滞,您的大便是否偏软导致排便时感觉不爽快？
溏滞,您是否存在大便质地松软且排出不顺畅的情况？
溏滞,您是否发现自己大便形态松散，且伴有排便阻滞感？
烧心,您是否经常感到胃部有灼热感？
烧心,您是否经常感到烧心？
烧心,您是否经历过餐后胃部向上至食道有烧灼样的不适感？
烧心,您是否有时会感到胃部内容物仿佛向上反流，伴随烧灼感？
烧心,您有烧心的感觉吗？
畏寒肢冷,您是否经常感到畏寒，尤其是四肢发冷？
畏寒肢冷,您有没有手脚冰凉，甚至畏寒的情况？
畏寒肢冷,是否感觉身体怕冷，且四肢尤为明显？
畏寒肢冷,您是否经常觉得四肢发凉，并伴有畏寒感？
畏寒肢冷,您较他人是否更怕冷？
疲乏,您最近是否常感到精神不振？
疲乏,您是否感到身体疲乏无力？
疲乏,您是否感到身体沉重，行动不便？
疲乏,您是否经常感到疲乏无力，精神不振？
疲乏,您是否总觉得身体疲倦，无力？
疲乏,是否稍微活动一下就感到累？
疲乏,您是否感觉体力不如以前，容易疲乏？
疲乏,近期您是否经常觉得困倦，想休息？
疲乏,您是否经常感到疲劳或乏力？
疲乏,您是否感到身体疲乏无力？
疲乏,您是否有持续的疲劳感？
疲乏,您是否感到容易疲劳，体力不支？
疲乏,您是否感到身体疲乏无力？
疲乏,您是否容易感到疲劳或乏力？
疲乏,您是否感到疲劳或精神不振？
痞满,您是否感觉胸部或腹部有胀满不适的感觉？
痞满,您有没有觉得胃部堵塞沉闷？
痞满,您是否经历过上腹或中腹部的疼痛？
痞满,是否感觉上腹部位有胀满不畅的情况？
痞满,您是否经常感到肚子里有气胀而不适？
痞满,您是否觉得上腹部堵塞胀满？
痞闷,您是否感到胸部有憋闷不适的感觉？
痞闷,您是否觉得肚子里有气胀且不畅快？
痞闷,有没有感觉胸腹部堵闷不舒服？
痞闷,您是否经常感到胃腹堵塞不通？
痞闷,是否感觉胸膈间好像有东西堵着，不顺畅？
矢气频,您是否排气频繁？
矢气频,您近期是否有排气增多的情况？
矢气频,是否常常不自觉地放屁？
矢气频,您是否觉得自己肠道内的气体比平时要多？
矢气频,近来您是否频繁有排气的现象？
矢气频繁,您是否排气频繁？
矢气频繁,您近期是否有排气增多的情况？
矢气频繁,是否常常不自觉地放屁？
矢气频繁,您是否觉得自己肠道内的气体比平时要多？
矢气频繁,近来您是否频繁有排气的现象？
神疲,您是否经常感到精神疲倦？
神疲,您是否有精神不振的情况？
神疲,您是否觉得神气疲惫，缺乏活力？
神疲,您是否总是感到疲劳乏力，精神难以集中？
神疲,您近来是否觉得精神萎靡，容易疲惫？
神疲乏力,您是否经常感到精神不振，容易疲劳？
神疲乏力,您是否觉得体力不支，总是懒洋洋的？
神疲乏力,是否感觉身体乏力，精神难以集中？
神疲乏力,您是否常有神倦力乏，不愿多动的情况？
神疲乏力,是否总是觉得疲惫不堪，精神萎靡？
纳呆,您是否感觉食欲不振，不思饮食？
纳呆,近期是否有胃口不好，吃东西不香的情况？
纳呆,是否觉得吃东西没有味道，不想吃东西？
纳呆,您最近是否感觉食欲不振，消化能力不是很好？
纳呆,您最近有没有觉得没有食欲？
纳呆,您是否有食欲不振的情况？
纳呆,您是否有消化不良的症状？
纳呆,您的食欲是否正常？
纳呆,您是否有消化不良的症状？
纳呆,您是否有食欲不振，消化不良的情况？
纳呆,您是否有食欲不振或消化不良的情况？
纳呆,您是否有食欲不振的情况？
纳呆,您是否感到食欲不振？
纳呆,您的食欲是否正常，没有减少？
纳呆,您是否有消化不良或大便不规律的情况？
纳少,您是否有食欲不振的情况？
纳少,您是否有消化不良的症状？
肠鸣,您是否有时会听到肚子里咕噜咕噜的响声？
肠鸣,您是否有时会听到肚子里有咕噜咕噜的响声？
肠鸣,您是否经常会听到肚子里有咕噜咕噜的响声？
肠鸣,您是否经常会听到肚子里有咕噜咕噜的响声？
肠鸣,您是否经常听到肚子里有咕噜咕噜的响声？
胁肋胀痛,您是否感到两侧肋骨胀痛？
胁肋胀痛,两侧肋骨有没有胀痛的情况出现？
胁肋胀痛,是否觉得两侧肋骨胀痛难忍？
胁肋胀痛,您两侧肋骨有没有胀痛的感觉？
胁肋胀痛,两侧肋骨是否会胀痛不舒服？
胃痛,您是否有胃部不适或疼痛的感觉？
胃痞胀满,您是否经常感到胃部饱胀不适？
胃痞胀满,您的胃是否有账满的感觉？
胃痞胀满,您是否觉得胃里有胀气且难以消散？
胃痞胀满,胃部是否有胀满感，让您感到不适？
胃痞胀满,您是否常感到胃部胀满不舒服？
胃胀,您是否经常感到胃胀或打嗝？
胃脘灼痛,您是否感到胃部有烧灼般的疼痛感？
胃脘灼痛,您的胃是否有时会像火烧一样疼？
胃脘灼痛,有没有觉得胃里面灼热且疼痛？
胃脘灼痛,胃部是否出现过灼热并伴有疼痛的情况？
胃脘灼痛,您是否经历过胃部的灼痛感？
胃脘疼痛,您是否经常感到胃部不适，有疼痛感？
胃脘疼痛,您的胃上部有没有疼的感觉？
胃脘疼痛,有没有觉得胃的部位隐隐作痛？
胃脘疼痛,胃部有没有出现过疼痛的情况？
胃脘疼痛,您是否有时会感到胃部疼痛难受？
胃脘疼痛遇冷加重,您是否感觉当胃部疼痛在受凉后会加剧？
胃脘疼痛遇冷加重,胃部疼痛感是否在受凉后变得更严重？
胃脘疼痛遇冷加重,受凉后，您的胃痛是否会加重？
胃脘疼痛遇冷加重,您是否经历过胃部疼痛在寒冷环境下会更为明显的情况？
胃脘疼痛遇冷加重,受凉的时候您的胃痛是否会更严重？
胃脘痞满,您是否感觉胃部饱胀不适，有堵塞感？
胃脘痞满,您是否觉得胃中堵塞？
胃脘痞满,您的胃部是否有胀满感，且感觉食物难以消化？
胃脘痞满,您是否经常感到胃部胀满，像有东西顶着一样？
胃脘痞满,您的胃是否总感觉饱饱的，不太舒服？
胃脘痞闷,您是否感到胃部有胀满不适的感觉？
胃脘痞闷,您是否觉得胃里有东西堵着，不顺畅？
胃脘痞闷,您的胃是否经常感觉闷胀不舒服？
胃脘痞闷,您有没有觉得胃部堵塞，气机不畅的情况？
胃脘痞闷,您是否经常感到胃部胀闷不适？
胃脘胀满,您是否经常感到胃部饱胀不适？
胃脘胀满,您的胃部有没有胀满的感觉？
胃脘胀满,是否觉得胃里有东西堵着，胀胀的？
胃脘胀满,您的胃部有没有一种撑胀感？
胃脘胀满,您是否感觉胃脘部位胀胀的，像有东西顶着？
胃脘胀满,您是否经常感到胃部胀满不适？
胃脘胀满,胀满感是否在饭后加重？
胃脘胀痛,您是否经常感到胃部有胀痛的不适感？
胃脘胀痛,胃部有没有出现过胀痛的情况？
胃脘胀痛,您是否觉得胃脘部有胀满且疼痛的症状？
胃脘胀痛,是否有过胃上部胀痛难忍的经历？
胃脘胀痛,胃部是否会时而感到胀痛不适？
胃脘隐痛,您是否经常感到胃部隐隐作痛？
胃脘隐痛,胃部有没有时不时出现轻微的疼痛感？
胃脘隐痛,您是否觉得胃脘部有隐约的疼痛感？
胃脘隐痛,有没有感觉胃的部位偶尔疼痛，但不算剧烈？
胃脘隐痛,您的胃是否会不时地隐隐作痛？
胃脘隐痛喜温喜按,您在胃部隐隐作痛时是否喜欢热敷和按压？
胃脘隐痛喜温喜按,胃部有隐痛感的时候按压或热敷会感觉舒服些吗？
胃脘隐痛喜温喜按,是否觉得在胃部有隐约疼痛时候，喜欢被按压和热敷？
胃脘隐痛喜温喜按,您的胃是否在隐隐作痛时喜欢热敷和轻轻按压？
胃脘隐痛喜温喜按,有没有感觉胃部隐痛时按压或热敷会缓解？
胸胁满闷,您是否感到胸部和两胁之间有胀满不适的感觉？
胸胁满闷,您有没有觉得胸胁部位闷胀不舒服？
胸胁满闷,胸胁间是否有堵闷感？
胸胁满闷,是否感觉胸部与两胁胀闷不畅？
胸胁满闷,胸胁部位是否常有憋闷胀满的情况？
